,UDI,Product.ID,Type,Air.temperature..K.,Process.temperature..K.,Rotational.speed..rpm.,Torque..Nm.,Tool.wear..min.
2582,2582,L49761,L,299.2,309.1,1345,60.7,191
2588,2588,L49767,L,299.0,308.7,2248,16.8,204
2602,2602,L49781,L,299.3,309.1,1399,52.1,27
2611,2611,H32024,H,299.4,309.1,1547,40.9,50
2613,2613,L49792,L,299.4,309.1,2421,14.2,57
2614,2614,M17473,M,299.3,309.1,1571,38.3,59
2625,2625,H32038,H,299.7,309.5,1375,46.8,86
2626,2626,L49805,L,299.7,309.4,1399,39.9,91
2632,2632,H32045,H,300.0,309.7,1529,42.4,107
2638,2638,L49817,L,299.9,309.6,1294,49.7,126
2642,2642,H32055,H,299.8,309.5,1420,46.7,136
2659,2659,L49838,L,300.0,309.4,1395,44.5,181
2666,2666,L49845,L,299.8,309.4,2256,15.9,201
2668,2668,M17527,M,299.8,309.3,1663,35.2,208
2671,2671,L49850,L,299.8,309.4,1467,46.2,219
2676,2676,L49855,L,299.7,309.3,1574,35.8,6
2679,2679,L49858,L,299.8,309.6,1447,43.1,12
2684,2684,L49863,L,299.8,309.5,1590,28.5,23
2685,2685,L49864,L,299.8,309.4,1460,37.4,25
2696,2696,L49875,L,300.0,309.5,1869,22.7,49
2701,2701,L49880,L,299.9,309.3,1473,40.4,59
2704,2704,M17563,M,299.8,309.2,1372,58.2,65
2713,2713,H32126,H,299.7,309.2,1302,55.5,87
2720,2720,L49899,L,299.5,309.2,1690,29.2,108
2728,2728,L49907,L,299.7,309.3,1434,38.5,127
2730,2730,L49909,L,299.7,309.3,1417,54.6,131
2732,2732,M17591,M,299.7,309.2,1597,32.9,135
2735,2735,H32148,H,299.7,309.2,1572,32.8,142
2739,2739,M17598,M,299.8,309.1,1496,44.4,155
2740,2740,L49919,L,299.8,309.2,1572,35.4,158
2756,2756,L49935,L,299.7,309.2,1478,38.8,199
2763,2763,L49942,L,299.8,309.2,1479,44.4,214
2771,2771,L49950,L,300.0,309.6,1364,45.9,16
2772,2772,L49951,L,299.9,309.5,1451,39.4,18
2781,2781,M17640,M,300.2,309.6,1556,35.8,36
2782,2782,L49961,L,300.2,309.5,2183,17.8,39
2794,2794,L49973,L,300.3,309.6,1597,31.8,73
2800,2800,L49979,L,300.3,309.6,1404,44.6,87
2802,2802,M17661,M,300.2,309.5,1642,28.8,92
2805,2805,L49984,L,300.1,309.5,1450,40.1,100
2807,2807,L49986,L,300.0,309.3,1364,41.2,104
2811,2811,L49990,L,299.8,309.1,1772,24.8,113
2816,2816,M17675,M,300.1,309.4,1569,31.6,124
2818,2818,L49997,L,300.2,309.5,1417,41.1,129
2819,2819,L49998,L,300.2,309.5,1729,28.4,131
2823,2823,L50002,L,300.3,309.6,1593,38.1,140
2827,2827,M17686,M,300.3,309.4,1612,33.1,150
2828,2828,L50007,L,300.4,309.4,1412,51.6,153
2829,2829,M17688,M,300.4,309.4,1875,23.9,155
2837,2837,M17696,M,300.3,309.1,1458,44.3,175
2839,2839,L50018,L,300.3,309.3,1478,39.5,180
2841,2841,H32254,H,300.4,309.4,1487,38.9,185
2843,2843,L50022,L,300.3,309.3,1345,53.5,192
2856,2856,L50035,L,300.5,309.3,1528,37.0,221
2861,2861,H32274,H,300.6,309.4,1463,49.2,235
2862,2862,L50041,L,300.7,309.5,1479,43.6,240
2863,2863,L50042,L,300.6,309.5,1867,23.0,242
2869,2869,L50048,L,300.8,309.7,1418,46.6,12
2875,2875,L50054,L,300.6,309.5,1471,49.6,29
2878,2878,M17737,M,300.5,309.4,1655,32.1,37
2886,2886,M17745,M,300.5,309.5,1320,49.9,59
2889,2889,M17748,M,300.6,309.6,1365,50.0,70
2892,2892,L50071,L,300.6,309.6,1682,30.7,78
2896,2896,M17755,M,300.7,309.6,1473,48.1,87
2897,2897,M17756,M,300.7,309.5,1633,31.3,90
2899,2899,M17758,M,300.6,309.5,1550,40.2,96
2902,2902,L50081,L,300.6,309.4,1425,40.3,103
2918,2918,L50097,L,300.6,309.5,1516,39.0,142
2923,2923,L50102,L,300.8,309.7,1481,38.1,153
2924,2924,M17783,M,300.7,309.7,1397,51.3,155
2927,2927,L50106,L,300.7,309.7,1507,52.4,163
2934,2934,M17793,M,300.8,309.7,1751,27.9,183
2942,2942,M17801,M,300.7,309.6,1996,19.8,203
2949,2949,L50128,L,300.7,309.5,1850,24.5,19
2953,2953,H32366,H,300.7,309.5,1667,30.5,29
2957,2957,M17816,M,300.8,309.6,1404,38.7,44
2958,2958,L50137,L,300.8,309.6,1498,45.8,47
2964,2964,M17823,M,300.7,309.6,1439,43.0,61
2968,2968,L50147,L,300.6,309.4,1369,51.6,71
2978,2978,L50157,L,300.4,309.3,1413,50.3,101
2993,2993,M17852,M,300.5,309.7,1685,29.4,140
2995,2995,L50174,L,300.5,309.8,1461,52.5,146
3025,3025,L50204,L,300.5,309.6,1465,41.6,217
3026,3026,L50205,L,300.5,309.6,1366,50.2,219
3034,3034,M17893,M,300.6,309.7,1934,22.8,15
3037,3037,L50216,L,300.4,309.6,1319,48.1,26
3042,3042,L50221,L,300.4,309.5,1543,38.9,37
3044,3044,L50223,L,300.3,309.5,1551,37.9,42
3054,3054,H32467,H,300.2,309.3,1506,35.6,63
3060,3060,M17919,M,300.0,309.0,1368,45.8,81
3061,3061,L50240,L,300.0,309.1,1882,23.8,84
3062,3062,L50241,L,300.1,309.1,1353,58.7,86
3065,3065,M17924,M,300.1,309.1,1731,30.4,92
3067,3067,M17926,M,300.1,309.2,1457,44.3,98
3072,3072,L50251,L,300.0,309.0,2174,16.9,112
3088,3088,M17947,M,300.0,309.1,1474,45.2,152
3095,3095,L50274,L,300.0,309.3,1972,22.0,175
3097,3097,L50276,L,299.9,309.2,1560,38.9,180
3098,3098,M17957,M,299.9,309.2,1353,49.8,182
3099,3099,M17958,M,299.9,309.2,1389,51.2,185
3100,3100,M17959,M,299.9,309.1,1513,43.8,188
3102,3102,H32515,H,299.8,309.0,1467,37.3,193
3113,3113,M17972,M,299.8,309.1,1355,56.7,7
3115,3115,M17974,M,299.9,309.2,1683,30.5,13
3121,3121,H32534,H,300.1,309.4,1563,40.8,28
3122,3122,L50301,L,300.1,309.4,2141,17.9,33
3132,3132,L50311,L,300.1,309.5,1660,32.7,57
3134,3134,H32547,H,300.2,309.6,1442,49.2,61
3138,3138,L50317,L,300.4,309.9,1567,36.5,72
3141,3141,H32554,H,300.4,309.9,2563,12.8,81
3143,3143,L50322,L,300.6,310.0,1658,34.7,88
3145,3145,M18004,M,300.6,310.0,1478,36.3,95
3153,3153,M18012,M,300.5,309.8,1473,42.3,121
3160,3160,H32573,H,300.4,309.8,1409,47.5,138
3163,3163,L50342,L,300.5,309.9,1480,40.0,148
3166,3166,L50345,L,300.4,309.6,1536,34.5,154
3172,3172,L50351,L,300.4,309.6,1386,56.9,170
3177,3177,L50356,L,300.3,309.6,1435,45.4,181
3179,3179,M18038,M,300.2,309.4,1329,53.6,186
3206,3206,M18065,M,300.1,308.9,1548,38.4,31
3209,3209,M18068,M,300.2,309.1,1406,42.2,40
3210,3210,L50389,L,300.3,309.2,1587,31.4,43
3216,3216,M18075,M,300.5,309.4,2179,16.3,59
3227,3227,L50406,L,300.5,309.3,1465,46.0,89
3232,3232,L50411,L,300.7,309.3,1425,45.3,100
3235,3235,L50414,L,300.8,309.4,1489,38.4,109
3243,3243,L50422,L,300.9,309.6,1384,42.4,131
3262,3262,H32675,H,301.3,310.1,1469,39.7,179
3264,3264,L50443,L,301.3,310.0,1344,54.8,186
3267,3267,L50446,L,301.3,310.1,1269,56.8,195
3269,3269,M18128,M,301.3,310.1,1525,37.8,199
3275,3275,L50454,L,301.3,310.0,1665,31.4,0
3279,3279,L50458,L,301.3,310.0,1506,40.8,11
3286,3286,L50465,L,301.2,309.9,1687,29.7,30
3287,3287,L50466,L,301.2,310.0,1618,37.6,32
3289,3289,L50468,L,301.3,310.1,1662,31.0,37
3291,3291,L50470,L,301.2,310.2,1385,42.3,42
3293,3293,L50472,L,301.3,310.3,1400,44.3,47
3306,3306,M18165,M,301.3,310.4,1577,48.3,78
3308,3308,M18167,M,301.4,310.5,1563,39.9,83
3317,3317,M18176,M,301.4,310.5,1217,60.6,103
3320,3320,L50499,L,301.4,310.4,1689,30.6,110
3324,3324,L50503,L,301.5,310.5,1589,36.7,118
3330,3330,L50509,L,301.6,310.7,1683,29.7,131
3347,3347,L50526,L,301.3,310.7,1761,24.3,174
3351,3351,L50530,L,301.4,310.8,1285,62.6,183
3356,3356,L50535,L,301.5,310.8,1367,49.0,193
3361,3361,L50540,L,301.5,310.6,1394,46.5,206
3364,3364,L50543,L,301.4,310.6,1555,43.3,212
3377,3377,M18236,M,301.5,310.8,1385,47.5,30
3382,3382,L50561,L,301.3,310.6,1376,47.6,45
3394,3394,L50573,L,301.5,310.6,1490,48.1,81
3398,3398,L50577,L,301.4,310.6,1648,30.7,90
3403,3403,L50582,L,301.4,310.6,1347,53.3,104
3404,3404,L50583,L,301.3,310.5,1337,52.7,106
3406,3406,M18265,M,301.3,310.4,1635,32.5,110
3411,3411,L50590,L,301.2,310.3,1451,39.7,123
3412,3412,L50591,L,301.3,310.3,1419,55.7,125
3418,3418,L50597,L,301.6,310.6,1621,33.7,137
3422,3422,M18281,M,301.5,310.5,1612,29.8,148
3430,3430,H32843,H,301.5,310.5,1551,34.3,166
3434,3434,M18293,M,301.6,310.6,1924,23.6,181
3437,3437,L50616,L,301.5,310.5,1466,48.1,189
3438,3438,L50617,L,301.5,310.5,2297,15.8,191
3442,3442,L50621,L,301.4,310.4,1559,39.4,199
3443,3443,M18302,M,301.4,310.5,1495,52.5,201
3457,3457,H32870,H,301.4,310.4,1610,38.6,16
3460,3460,L50639,L,301.5,310.4,1270,54.2,26
3465,3465,L50644,L,301.7,310.6,1303,59.7,42
3469,3469,L50648,L,301.8,310.7,2092,18.6,51
3475,3475,M18334,M,301.9,310.8,1557,35.3,65
3490,3490,L50669,L,301.9,310.9,1542,36.7,101
3492,3492,H32905,H,301.9,310.9,1590,34.3,106
3499,3499,L50678,L,301.9,311.0,1289,54.9,128
3502,3502,H32915,H,301.9,311.0,1291,63.6,137
3520,3520,M18379,M,301.9,310.9,1569,32.5,188
3524,3524,L50703,L,301.8,310.9,1521,39.3,197
3532,3532,M18391,M,301.9,310.9,1641,33.2,3
3534,3534,L50713,L,302.0,311.0,1563,36.2,8
3535,3535,M18394,M,302.0,311.1,1769,26.0,10
3538,3538,M18397,M,302.0,311.0,1980,21.5,20
3541,3541,L50720,L,301.9,310.9,1574,31.4,27
3557,3557,L50736,L,301.9,310.8,1735,31.5,66
3559,3559,L50738,L,301.7,310.6,1743,26.2,71
3561,3561,L50740,L,301.8,310.7,1680,32.4,76
3569,3569,L50748,L,301.8,310.6,1372,54.7,95
3572,3572,M18431,M,301.7,310.6,1691,27.7,105
3573,3573,L50752,L,301.8,310.6,1451,50.7,108
3579,3579,M18438,M,301.7,310.5,1625,35.9,121
3580,3580,L50759,L,301.8,310.6,2672,11.8,124
3583,3583,L50762,L,301.8,310.6,1395,50.5,131
3588,3588,H33001,H,301.8,310.5,1478,38.6,141
3589,3589,M18448,M,301.7,310.6,1505,44.5,146
3591,3591,L50770,L,301.8,310.6,1403,46.8,151
3600,3600,H33013,H,301.7,310.5,1388,50.5,176
3601,3601,L50780,L,301.7,310.5,1523,34.7,181
3608,3608,L50787,L,301.6,310.7,1638,33.8,196
3613,3613,L50792,L,301.7,310.8,1622,37.8,0
3614,3614,L50793,L,301.7,310.9,1557,39.4,2
3623,3623,L50802,L,302.0,311.3,1509,39.9,25
3630,3630,L50809,L,302.1,311.3,1415,44.1,43
3633,3633,L50812,L,302.1,311.3,1634,30.6,50
3634,3634,M18493,M,302.2,311.3,1521,40.6,52
3636,3636,M18495,M,302.1,311.2,1616,35.1,57
3637,3637,L50816,L,302.2,311.4,1449,46.5,60
3650,3650,L50829,L,302.2,311.5,1481,40.4,93
3655,3655,L50834,L,302.1,311.4,1603,35.9,104
3656,3656,L50835,L,302.1,311.4,1686,30.9,106
3657,3657,M18516,M,302.1,311.5,1383,53.6,108
3659,3659,M18518,M,302.2,311.5,1449,44.5,113
3662,3662,M18521,M,302.3,311.7,1639,36.6,121
3667,3667,M18526,M,302.3,311.6,1608,39.9,136
3676,3676,M18535,M,302.1,311.5,1866,23.1,159
3698,3698,L50877,L,302.2,311.2,1928,23.1,2
3701,3701,L50880,L,302.1,311.2,1447,50.3,11
3708,3708,M18567,M,302.1,311.3,1497,38.4,28
3718,3718,H33131,H,302.3,311.4,1443,44.1,51
3729,3729,L50908,L,302.3,311.3,1457,44.5,83
3736,3736,M18595,M,302.2,311.1,1434,58.6,102
3738,3738,L50917,L,302.2,311.1,1351,48.6,110
3740,3740,M18599,M,302.2,311.2,1663,29.6,115
3744,3744,L50923,L,302.5,311.4,1759,24.6,124
3750,3750,L50929,L,302.4,311.1,1652,33.9,139
3759,3759,M18618,M,302.2,311.0,1476,47.4,161
3764,3764,L50943,L,302.3,311.0,1428,47.9,174
3766,3766,M18625,M,302.4,311.1,1443,51.8,178
3772,3772,M18631,M,302.3,311.0,1384,49.7,192
3776,3776,H33189,H,302.5,311.1,1850,23.3,203
3778,3778,M18637,M,302.4,311.1,1721,30.1,210
3781,3781,L50960,L,302.4,311.1,1446,42.9,5
3789,3789,L50968,L,302.3,310.8,1511,48.1,24
3792,3792,L50971,L,302.3,311.0,1528,43.1,30
3793,3793,L50972,L,302.3,310.9,1459,35.0,32
3803,3803,M18662,M,302.2,310.9,1488,44.2,57
3812,3812,M18671,M,302.1,310.7,1608,30.3,81
3850,3850,L51029,L,302.3,311.0,1561,37.2,180
3856,3856,H33269,H,302.4,311.1,1578,32.3,196
3867,3867,L51046,L,302.6,311.6,1311,53.2,0
3869,3869,M18728,M,302.7,311.7,1759,29.9,5
3874,3874,L51053,L,302.6,311.8,1638,35.1,17
3879,3879,L51058,L,302.6,311.7,1773,27.1,30
3881,3881,L51060,L,302.5,311.6,1595,29.5,35
3883,3883,L51062,L,302.5,311.6,1419,43.7,39
3885,3885,H33298,H,302.5,311.5,1626,36.0,44
3894,3894,L51073,L,302.3,311.2,1549,40.6,66
3895,3895,M18754,M,302.3,311.2,1432,42.7,68
3905,3905,H33318,H,302.2,311.1,1426,50.6,101
3914,3914,M18773,M,302.4,311.4,1675,29.6,128
3917,3917,L51096,L,302.6,311.6,1453,37.0,135
3936,3936,M18795,M,302.6,311.6,1227,68.2,187
3943,3943,M18802,M,302.2,311.4,1398,47.2,202
3944,3944,L51123,L,302.3,311.4,1333,66.7,205
3946,3946,L51125,L,302.2,311.3,1570,36.1,0
3947,3947,M18806,M,302.2,311.3,1658,31.0,2
3954,3954,M18813,M,302.3,311.4,1484,39.5,22
3962,3962,M18821,M,302.2,311.4,1642,32.1,42
3972,3972,H33385,H,302.2,311.4,1625,35.4,70
3973,3973,L51152,L,302.3,311.4,1511,34.7,75
3976,3976,H33389,H,302.4,311.5,1540,43.7,81
3981,3981,M18840,M,302.2,311.3,1375,47.0,98
3983,3983,L51162,L,302.2,311.3,1475,48.6,104
3985,3985,L51164,L,302.3,311.3,1652,32.8,108
3986,3986,L51165,L,302.3,311.2,1386,50.3,110
3987,3987,M18846,M,302.2,311.3,1577,29.8,112
3989,3989,L51168,L,302.2,311.3,1554,40.2,118
3990,3990,L51169,L,302.2,311.3,1602,32.8,120
3993,3993,L51172,L,302.3,311.3,1614,34.1,129
3994,3994,L51173,L,302.3,311.3,1324,47.8,131
3997,3997,M18856,M,302.3,311.3,1625,33.1,137
4003,4003,L51182,L,302.1,311.2,1454,59.2,153
4008,4008,L51187,L,302.1,311.2,1369,50.8,164
4019,4019,M18878,M,302.0,310.8,1783,23.1,190
4031,4031,L51210,L,302.0,310.8,2143,17.3,227
4037,4037,L51216,L,302.0,310.8,1445,49.1,2
4038,4038,M18897,M,302.0,310.8,1609,35.2,4
4041,4041,L51220,L,302.0,310.8,1767,27.4,11
4047,4047,M18906,M,301.9,310.9,1421,46.2,26
4051,4051,L51230,L,301.8,310.8,1456,46.6,35
4053,4053,M18912,M,301.9,310.8,1563,39.2,39
4057,4057,L51236,L,301.9,310.9,1597,36.9,50
4058,4058,L51237,L,302.0,310.9,1495,38.6,52
4059,4059,M18918,M,302.0,310.9,1456,47.2,54
4068,4068,L51247,L,301.9,310.7,1429,51.0,76
4069,4069,L51248,L,301.9,310.7,1405,48.8,78
4073,4073,L51252,L,301.9,310.6,1610,33.4,87
4083,4083,L51262,L,302.0,310.4,1568,39.2,112
4096,4096,H33509,H,302.0,310.5,1459,43.2,148
4107,4107,L51286,L,301.9,310.5,1425,51.1,173
4111,4111,L51290,L,302.0,310.6,1361,46.7,182
4112,4112,M18971,M,302.0,310.6,1563,41.0,184
4117,4117,M18976,M,302.0,310.5,1381,58.4,201
4128,4128,H33541,H,302.0,310.6,1438,43.2,12
4129,4129,L51308,L,301.9,310.4,1708,24.8,17
4139,4139,L51318,L,301.7,310.2,1311,57.4,40
4141,4141,L51320,L,301.7,310.2,1331,61.2,47
4143,4143,L51322,L,301.7,310.1,1424,50.2,54
4144,4144,L51323,L,301.7,310.1,1500,39.6,56
4145,4145,L51324,L,301.8,310.1,1738,28.0,58
4154,4154,M19013,M,302.0,310.4,1212,55.6,79
4156,4156,L51335,L,302.0,310.5,1370,44.4,85
4161,4161,M19020,M,302.0,310.4,1608,33.1,97
4162,4162,H33575,H,301.9,310.3,1653,32.4,100
4164,4164,L51343,L,302.1,310.5,1696,30.9,107
4168,4168,M19027,M,302.3,310.7,1559,33.9,119
4169,4169,L51348,L,302.2,310.6,1632,30.5,122
4171,4171,M19030,M,302.2,310.6,1355,51.5,126
4175,4175,L51354,L,302.3,310.7,1499,37.8,137
4180,4180,L51359,L,302.4,310.9,1349,46.1,148
4182,4182,M19041,M,302.4,310.7,1521,40.4,152
4206,4206,L51385,L,302.3,310.8,1723,26.3,213
4207,4207,M19066,M,302.3,310.8,1721,28.4,215
4216,4216,M19075,M,302.0,310.7,2157,17.8,17
4221,4221,M19080,M,301.9,310.6,1260,65.9,29
4223,4223,M19082,M,302.0,310.6,1535,38.6,34
4226,4226,L51405,L,302.1,310.7,1359,49.3,41
4252,4252,H33665,H,302.5,310.9,1356,55.5,101
4253,4253,H33666,H,302.6,311.0,1438,51.0,106
4262,4262,L51441,L,302.7,311.1,1730,28.1,135
4264,4264,L51443,L,302.6,311.0,1620,36.2,139
4270,4270,L51449,L,302.6,311.0,1610,39.2,152
4279,4279,L51458,L,302.0,310.1,1409,50.4,172
4280,4280,L51459,L,302.0,310.1,1361,45.4,174
4284,4284,M19143,M,301.8,309.9,1334,61.0,182
4299,4299,M19158,M,301.8,310.2,1437,42.3,0
4300,4300,L51479,L,301.7,310.1,1402,50.1,3
4305,4305,L51484,L,301.6,310.1,1694,26.3,14
4310,4310,M19169,M,301.3,309.9,1501,39.5,27
4315,4315,H33728,H,301.4,310.1,1623,32.3,39
4322,4322,L51501,L,301.7,310.2,1686,28.9,59
4323,4323,M19182,M,301.7,310.1,1431,44.0,61
4327,4327,L51506,L,301.6,310.1,1362,55.8,70
4329,4329,L51508,L,301.6,310.1,1326,48.2,77
4339,4339,L51518,L,301.6,309.9,1397,43.7,102
4345,4345,H33758,H,301.8,309.9,1418,51.3,116
4348,4348,H33761,H,301.9,309.8,1724,27.5,126
4350,4350,L51529,L,301.9,309.7,1595,31.4,133
4355,4355,L51534,L,302.0,309.8,1456,58.1,145
4361,4361,L51540,L,302.1,310.1,1543,35.8,164
4365,4365,H33778,H,302.1,310.1,1615,29.9,176
4368,4368,H33781,H,302.0,309.9,1447,42.8,185
4369,4369,L51548,L,302.0,310.0,1664,28.6,190
4375,4375,L51554,L,302.0,309.7,1551,34.8,207
4379,4379,M19238,M,301.9,309.6,1385,45.8,217
4380,4380,M19239,M,301.8,309.5,1732,30.1,220
4381,4381,L51560,L,301.9,309.6,1410,49.0,223
4384,4384,L51563,L,301.7,309.5,1298,65.5,229
4394,4394,M19253,M,302.2,310.1,1572,34.6,17
4398,4398,L51577,L,302.4,310.2,1539,37.7,29
4400,4400,L51579,L,302.3,310.1,1653,29.7,34
4404,4404,L51583,L,302.3,310.1,1388,49.9,48
4413,4413,L51592,L,302.6,310.5,1450,43.2,68
4416,4416,L51595,L,302.6,310.4,1514,42.7,75
4428,4428,M19287,M,302.4,310.1,1379,48.9,107
4431,4431,H33844,H,302.3,310.1,1688,30.4,115
4442,4442,L51621,L,302.5,310.2,1329,50.6,148
4445,4445,L51624,L,302.4,310.2,2224,16.0,154
4446,4446,L51625,L,302.5,310.2,1716,29.9,156
4450,4450,M19309,M,302.4,310.3,1378,54.3,165
4451,4451,L51630,L,302.5,310.3,1551,37.3,168
4460,4460,L51639,L,302.6,310.4,1743,26.3,191
4463,4463,L51642,L,302.7,310.5,1263,67.8,197
4465,4465,L51644,L,302.8,310.6,1671,30.5,201
4468,4468,L51647,L,302.8,310.6,1617,37.9,207
4474,4474,L51653,L,302.7,310.5,1551,35.9,6
4478,4478,L51657,L,302.6,310.3,1647,34.2,14
4480,4480,L51659,L,302.6,310.2,1923,21.5,18
4481,4481,H33894,H,302.7,310.4,1305,55.2,20
4485,4485,M19344,M,302.6,310.4,1451,43.1,35
4493,4493,M19352,M,302.6,310.5,1420,56.4,57
4502,4502,L51681,L,302.5,310.2,1307,54.0,86
4505,4505,L51684,L,302.4,310.1,1645,31.6,93
4506,4506,L51685,L,302.4,310.1,1426,46.8,95
4507,4507,M19366,M,302.4,310.1,1520,36.6,97
4512,4512,L51691,L,302.5,310.2,1454,43.0,108
4517,4517,L51696,L,302.5,310.3,1539,39.0,119
4535,4535,L51714,L,302.4,310.2,1633,28.0,164
4538,4538,L51717,L,302.3,310.2,1548,35.3,170
4545,4545,L51724,L,302.5,310.4,1349,55.1,187
4554,4554,L51733,L,302.6,310.5,1461,45.4,0
4555,4555,L51734,L,302.6,310.5,1748,28.2,2
4573,4573,M19432,M,302.9,311.0,1556,36.5,44
4584,4584,M19443,M,302.9,311.2,1467,37.7,73
4587,4587,L51766,L,302.7,310.9,1395,48.3,80
4593,4593,L51772,L,302.9,311.1,1555,33.9,96
4594,4594,L51773,L,303.0,311.2,1409,41.9,98
4596,4596,M19455,M,303.0,311.2,1460,43.9,103
4597,4597,L51776,L,303.0,311.2,1361,47.6,106
4598,4598,M19457,M,303.0,311.1,1490,43.0,108
4600,4600,L51779,L,303.1,311.1,1420,55.8,113
4605,4605,L51784,L,302.9,311.0,1820,24.6,128
4609,4609,M19468,M,303.0,311.2,1519,38.0,139
4615,4615,H34028,H,303.0,311.2,1503,37.0,152
4618,4618,M19477,M,303.1,311.4,1831,23.3,161
4628,4628,M19487,M,303.0,311.2,1592,38.9,188
4629,4629,M19488,M,303.0,311.1,1597,36.7,191
4630,4630,L51809,L,303.0,311.2,1735,26.1,194
4633,4633,M19492,M,302.9,311.2,1330,53.7,200
4636,4636,M19495,M,303.0,311.2,1614,35.7,207
4637,4637,L51816,L,303.0,311.3,1466,43.0,210
4641,4641,L51820,L,303.1,311.2,1435,40.1,219
4642,4642,H34055,H,303.1,311.3,1494,42.7,221
4643,4643,L51822,L,303.2,311.4,1238,54.6,226
4646,4646,L51825,L,303.3,311.4,1732,25.6,232
4647,4647,L51826,L,303.3,311.4,1497,46.0,234
4649,4649,L51828,L,303.3,311.4,1630,32.5,2
4651,4651,L51830,L,303.3,311.4,1658,30.5,7
4652,4652,L51831,L,303.2,311.4,1349,51.1,9
4655,4655,M19514,M,303.1,311.0,1510,47.6,16
4658,4658,L51837,L,303.1,311.2,1628,35.2,23
4660,4660,M19519,M,303.1,311.2,1489,44.5,27
4661,4661,L51840,L,303.2,311.2,1439,43.9,30
4662,4662,L51841,L,303.3,311.3,1350,48.1,32
4664,4664,L51843,L,303.3,311.3,1389,53.9,39
4683,4683,L51862,L,303.6,311.8,1567,31.7,97
4686,4686,M19545,M,303.6,311.8,1627,30.8,104
4687,4687,M19546,M,303.5,311.6,1562,34.2,107
4694,4694,M19553,M,303.4,311.5,1817,24.7,125
4698,4698,M19557,M,303.5,311.6,1573,34.0,134
4704,4704,M19563,M,303.6,311.8,1432,42.5,150
4710,4710,M19569,M,303.4,311.6,1446,50.0,163
4711,4711,L51890,L,303.4,311.7,1673,32.2,166
4717,4717,L51896,L,303.4,311.6,1712,30.1,182
4718,4718,M19577,M,303.4,311.6,1425,45.4,184
4726,4726,M19585,M,303.4,311.8,1515,42.6,204
4748,4748,L51927,L,303.3,311.2,1763,27.3,27
4753,4753,H34166,H,303.3,311.3,1502,39.5,38
4764,4764,L51943,L,303.7,312.1,1443,45.9,74
4768,4768,L51947,L,303.6,311.9,1473,50.1,84
4773,4773,M19632,M,303.6,312.0,1435,37.9,98
4779,4779,H34192,H,303.6,312.2,1371,54.6,112
4780,4780,L51959,L,303.7,312.3,1511,38.9,117
4781,4781,L51960,L,303.7,312.4,1404,46.6,119
4783,4783,L51962,L,303.8,312.5,1368,52.6,123
4788,4788,L51967,L,303.7,312.6,1396,44.1,136
4795,4795,L51974,L,303.6,312.6,1699,27.9,160
4800,4800,L51979,L,303.5,312.5,1418,42.2,170
4802,4802,L51981,L,303.5,312.4,1574,32.7,175
4804,4804,L51983,L,303.6,312.5,1710,31.4,180
4805,4805,L51984,L,303.7,312.6,1621,38.8,182
4810,4810,L51989,L,303.4,312.2,1656,32.7,195
4813,4813,L51992,L,303.4,311.9,1531,37.9,203
4820,4820,L51999,L,303.6,312.2,1696,30.7,5
4827,4827,L52006,L,303.4,311.8,2268,15.8,20
4839,4839,H34252,H,303.3,311.8,1649,29.4,49
4841,4841,L52020,L,303.4,311.9,1298,63.9,59
4843,4843,M19702,M,303.3,311.8,1489,49.4,64
4848,4848,L52027,L,303.4,311.9,1434,44.6,78
4858,4858,L52037,L,303.7,312.3,1606,37.4,103
4860,4860,L52039,L,303.7,312.4,1535,38.6,107
4865,4865,L52044,L,303.6,312.3,1451,43.4,119
4866,4866,M19725,M,303.5,312.3,1624,34.8,121
4872,4872,L52051,L,303.7,312.4,1513,40.1,135
4873,4873,L52052,L,303.7,312.4,1316,59.3,137
4874,4874,M19733,M,303.7,312.4,1474,38.8,139
4878,4878,M19737,M,303.7,312.4,1546,33.7,149
4882,4882,M19741,M,303.8,312.6,1406,47.1,162
4889,4889,L52068,L,303.7,312.4,1512,39.2,184
4894,4894,M19753,M,303.8,312.5,1448,44.3,195
4898,4898,H34311,H,303.8,312.5,1525,38.0,209
4899,4899,H34312,H,303.6,312.4,1460,53.7,214
4904,4904,L52083,L,303.6,312.4,2232,16.8,0
4916,4916,H34329,H,303.5,312.3,1386,49.0,35
4920,4920,L52099,L,303.3,312.2,1506,40.0,50
4926,4926,L52105,L,303.4,312.3,1680,30.6,67
4932,4932,M19791,M,303.3,312.1,1693,30.0,80
4935,4935,L52114,L,303.4,312.2,1580,35.8,90
4936,4936,L52115,L,303.4,312.3,1479,42.8,92
4943,4943,L52122,L,303.5,312.6,1602,34.2,108
4947,4947,M19806,M,303.7,312.7,1669,31.7,120
4949,4949,M19808,M,303.8,312.7,1500,41.7,125
4953,4953,M19812,M,303.8,312.7,1374,53.6,136
4964,4964,L52143,L,303.9,312.7,1789,24.4,163
4973,4973,H34386,H,303.8,312.6,1811,24.9,183
4974,4974,L52153,L,303.8,312.7,1461,38.2,188
4977,4977,L52156,L,303.7,312.7,1359,56.8,194
4978,4978,L52157,L,303.7,312.7,1540,44.8,196
4980,4980,M19839,M,303.7,312.7,1612,36.3,200
4985,4985,L52164,L,303.8,313.1,1256,58.7,213
4986,4986,M19845,M,303.8,313.0,1789,23.5,215
4988,4988,M19847,M,303.7,313.0,1303,54.4,2
